id,name,literal,cn,category,type,summary,value,url,githubRepo,heatLevel,heatNote,openSource,localDeploy,chinaUsability,riskLevel,riskNote,recommend,sourceType,sourceConfidence,reviewStatus,lastVerifiedAt,pricing,license,apiSupport,mcpSupport,commercialUse,dataPrivacy,riskTags,recommendedFor
toolify,Toolify,工具化 / 品牌名,Toolify AI工具目录,platform-directories,平台,大型AI工具目录，按数百个类别收录AI工具。,用于参考超细分类、搜索筛选和平台收录数量榜。,https://www.toolify.ai/,,SS,官网页面口径：约29k+工具/459类别，需定期核验。,False,False,一般,中,数量不等于质量，需提示用户自行核验价格/隐私/条款。,竞品参考，非核心工具。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,竞品研究/工具发现
futurepedia,Futurepedia,未来百科,Futurepedia,platform-directories,平台,AI工具目录与AI教育平台。,参考工具目录+课程/教程组合。,https://www.futurepedia.io/,,S,"官网口径：4,000+ curated tools，500,000+ accounts。",False,False,一般,低,平台口径需定期核验。,竞品参考。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,竞品研究/工具发现
futuretools,Future Tools,未来工具,Future Tools,platform-directories,平台,Matt Wolfe 运营的AI工具库和AI新闻。,参考人工精选、免费/付费/开源筛选和新闻栏目。,https://futuretools.io/,,S,"官网口径：4,000+工具/29类别。",False,False,一般,低,人工精选不等于商用安全。,竞品参考。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,竞品研究/工具发现
codex,OpenAI Codex,代码手稿 / 代码索引,Codex,ai-coding,平台/Agent,OpenAI的AI编程Agent/代码助手生态。,自动读写代码、跑测试、生成PR、修复项目。,https://openai.com/codex,,SS,行业头部AI编程工具之一。,False,False,一般,中,代码变更需人工Review；注意密钥/权限/成本。,适合AI编程场景，但不是本项目唯一中心。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,是/常见,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
claude-code,Claude Code,Claude代码,Claude Code,ai-coding,平台/Agent,Anthropic的终端/IDE编程Agent。,读仓库、改代码、执行命令、生成测试和解释代码。,https://www.anthropic.com/claude-code,,SS,AI编程头部工具。,False,False,一般,中,终端权限要限制，危险命令需审批。,适合工程开发与代码维护。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
cursor,Cursor,光标,Cursor AI IDE,ai-coding,软件,AI原生代码编辑器，支持代码库理解和Agent模式。,适合AI辅助开发、项目重构、代码解释。,https://cursor.com/,,SS,AI IDE代表产品。,False,False,一般,中,闭源编辑器，需注意代码上传与企业合规。,适合个人/团队AI编程。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,相关/可接入,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
cline,Cline,品牌名,Cline,ai-coding,开源项目,VS Code开源Coding Agent。,可接多模型和MCP，适合本地/云模型编程工作流。,https://cline.bot/,cline/cline,SS,GitHub热度高，需脚本定期刷新。,True,True,较好,中,Agent可执行命令，需权限与沙箱控制。,推荐作为开源AI编程参考。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,开发者/产品团队
openhands,OpenHands,开放之手,OpenHands,ai-coding,开源项目,开源软件工程Agent平台，可理解为自托管AI开发助手。,用于参考软件工程Agent架构、沙箱和任务执行。,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI/OpenHands,SS,GitHub高热。,True,True,较好,中,本地/容器权限需严格隔离。,推荐研究。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,相关/可接入,取决于 License,本地更可控,本地部署|开源项目,开发者/产品团队
aider,Aider,帮手,Aider,ai-coding,开源项目,终端AI结对编程工具。,适合改已有仓库、生成patch、配合Git工作流。,https://aider.chat/,Aider-AI/aider,S,终端AI编程成熟项目。,True,True,较好,中,需注意自动修改范围和Git回滚。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,开发者/产品团队
continue,Continue,继续,Continue,ai-coding,开源项目,开源AI代码助手，可接本地/云模型。,适合VS Code/JetBrains扩展AI能力。,https://www.continue.dev/,continuedev/continue,S,开源AI IDE插件生态重要项目。,True,True,较好,中,模型和代码上传策略需配置。,推荐。,GitHub,高,已初审,2026-06-21,开源免费,需从 GitHub API 核验,未知/需核验,未知/需核验,取决于 License,本地更可控,本地部署|开源项目,开发者/产品团队
windsurf,Windsurf,风浪冲浪,Windsurf,ai-coding,软件,AI IDE，强调Cascade工作流。,适合AI辅助编码和多文件项目开发。,https://windsurf.com/,,S,AI IDE代表之一。,False,False,一般,中,闭源平台，企业代码需注意上传策略。,可选。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
lovable,Lovable,可爱的 / 值得爱的,Lovable,ai-coding,平台,Prompt-to-App应用生成平台。,非程序员也可快速生成Web应用原型。,https://lovable.dev/,,S,Vibe Coding代表平台。,False,False,一般,中,生成代码需审查，商用项目需检查依赖和安全。,适合原型。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
bolt-new,Bolt.new,闪电,Bolt.new,ai-coding,平台,浏览器内AI应用生成工具。,快速生成前端/全栈原型。,https://bolt.new/,,S,Prompt-to-App代表。,False,False,一般,中,生成代码需安全审计。,适合原型。,官网/平台公开,中,已初审,2026-06-21,平台定价/需核验,平台条款/需核验,未知/需核验,未知/需核验,取决于平台条款,云端处理/需读隐私政策,平台条款|国内可用性复核,开发者/产品团队
